sno	Question1	Question2	Question3	Question4	Question5	Question6	Question7	Question8	Question9	Question10	Question11	Question12	Question13	Question14	Question15
28	Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना),Redness (लाल),Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप),Tablet (टैबलेट)	Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Contact lens use (चश्मा लगाना)	46-55	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/9097727a-89d9-4b36-afd3-e761c4475a06-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/3c9c6154-cf21-4192-a7ad-45908740bbdf-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	9	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
29	Any other (कोई और)	2nd Tier city (छोटा शहर)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/3e8a7902-9b46-4b6a-9fa1-cc041a2cda36-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/65162d30-051a-4141-9966-0c9b67b5f592-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
30	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल)	A few times a month (महीने में कुछ बार)	Eye gels (आई जेल)	Air pollution (वायु प्रदूषण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/e62d71f9-db46-4b85-b62c-4d193ef3cdd2-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d1a7fefa-a698-4922-ac70-9e03f99193af-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Over-the-counter(OTC) eye drops (आई ड्रॉप)	6	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
31	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/86396f41-42a2-42cf-8023-06725915cab5-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/126e6b24-e1a1-4bfb-8e80-2bfcd75edef4-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	6	Never 	Never (कभी नहीं)	No (नहीं)
32	Any other (कोई और),Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब),Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Redness (लाल)	Rarely (शायद ही कभी)	None of the above (इनमें से कोई नहीं)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/eb0aa7b6-64c6-4cb0-a8ce-2d0c0d58af4e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/366f6ff9-d0c1-49aa-8b33-8e8d12840143-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा),Over-the-counter(OTC) eye drops (आई ड्रॉप)	6	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
33	Any other (कोई और)	3rd Tier city (कस्बा)	A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/f1ce0243-1a3b-4681-87af-470f407229b7-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/c4874072-8672-4d24-8818-1848626846dc-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Over-the-counter(OTC) eye drops (आई ड्रॉप)	8	Never 	Rarely (शायद ही कभी)	Yes (हाँ)
34	Any other (कोई और)	Villages (गांव)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/5d802a87-b63e-4a6d-a8f1-65822a74f3d0-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/9fe9b0e7-f8e8-4069-a0f0-12569a85c724-AUDIO.m4a	Other (अन्य)	8	Never 	Never (कभी नहीं)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
35	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),Sensitivity to light (प्रकाश में जलन होना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप),Eye gels (आई जेल)	Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण),Aging (उम्र बढ़ना)	36-45	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/47e0e237-a19a-4d4e-a4c7-db587d3732e1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/fcacf2f6-1206-4eb9-b44f-e0bb736599c4-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	6	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
36	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),A feeling of something in the eye (आँख में कुछ महसूस होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप),Eye gels (आई जेल)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	46-55	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/8a213a62-c0a0-40e5-b56b-aeeeab0f1077-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/81f9b417-3979-430e-9ff0-80c0b1c73231-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	7	Yes 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
37	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	1st Tier City (बड़ा शहर)	Redness (लाल),Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye gels (आई जेल),Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/38ff1587-5aa5-4dda-80a1-4c6b20b8cc7e-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/68e207f8-3587-448c-9bf9-6c502dacbf42-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	7	Never 	A few times a month (महीने में कुछ बार)	Yes (हाँ)
38	Any other (कोई और)	1st Tier City (बड़ा शहर)	Redness (लाल),Blurred vision (धुंधला दिखना),Dry, irritated eyes (सुखी या आंख में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप),Tablet (टैबलेट)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),I don't know (मुझें नहीं पता)	Under 18	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/90cbb41a-3f99-4602-ac34-f043ba6f1142-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/04345fb0-0331-4723-9f35-3aab4d6ff6a7-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा)	5	Never 	Rarely (शायद ही कभी)	No (नहीं)
39	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Air-conditioned environments (वातानुकूलित वातावरण)	26-35	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/02e63d86-b65a-4c4c-be13-820d4e43f578-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/180c6979-1344-45d6-88d0-724c19fea129-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	4	No	Rarely (शायद ही कभी)	No (नहीं)
40	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Rarely (शायद ही कभी)	None of the above (इनमें से कोई नहीं)	Other (अन्य)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/f0a24413-da19-4556-8f4e-05c0f70ba1b3-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/bfeb6f68-7d40-4682-902f-303c6a45a4de-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	7	Never 	Rarely (शायद ही कभी)	No (नहीं)
41	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	Daily (प्रतिदिन)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना)	Over 55	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/15fc4b8b-7f61-4b0b-8619-248cdd74e057-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/33192c12-2481-4376-a134-2f012739e64e-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	4	Maybe 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
42	Any other (कोई और)	2nd Tier city (छोटा शहर)	Never (कभी नहीं)	Never (कभी नहीं)	None of the above (इनमें से कोई नहीं)	I don't know (मुझें नहीं पता)	18-25	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/45c24fb2-10f6-48b2-87b8-685105e74c77-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/9c1f8a54-e670-437a-ab94-0b9367a42438-AUDIO.m4a	Other (अन्य)	2	Never 	Never (कभी नहीं)	No (नहीं)
43	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Air-conditioned environments (वातानुकूलित वातावरण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/4383d9d1-78f7-4099-a4b0-3b92d51e262a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/0d644f73-a436-405f-a362-eb1244d04671-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),A wearable diagnostic and treatment device (पहनने योग्य डायग्नोस्टिक और उपचार डिवाइस)	6	Never 	A few times a month (महीने में कुछ बार)	No (नहीं)
44	Desk Job with high screen time (ज्यादा समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),A feeling of something in the eye (आँख में कुछ महसूस होना)	Several times a week (सप्ताह में कई बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/8a425939-229a-4222-8db8-1013a5e9526a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/7e5ddbb7-da82-4b62-bccb-4ac642e78bee-AUDIO.m4a	Over-the-counter(OTC) eye drops (आई ड्रॉप),Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Rarely (शायद ही कभी)	No (नहीं)
45	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	None of the above (इनमें से कोई नहीं)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/d2d6baab-f92e-4a17-9459-c1a60be4c852-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/7ca42193-3ba8-4251-b783-a4bd51cd0254-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	7	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
46	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Redness (लाल),Blurred vision (धुंधला दिखना),Sensitivity to light (प्रकाश में जलन होना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण),Aging (उम्र बढ़ना),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/6e6131b9-236e-40e6-9f94-632d3952927b-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/9d758cfd-629d-4977-b538-4234cddd08cd-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार)),Prescription medication (डॉक्टर की सलाह से दवा)	7	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
47	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना),Blurred vision (धुंधला दिखना)	Several times a week (सप्ताह में कई बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Poor diet (खराब आहार)	26-35	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/3d9a3a25-d97f-4df4-9713-b18cb422ddbf-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/3526c4a8-4f07-45bb-bade-47b4fa9e4f73-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	Yes 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
48	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Tablet (टैबलेट)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/f221bd37-0778-4a6c-9acd-d0307a0488d1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/5691a79e-d16b-40bc-a48f-2b1ba3f572de-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	4	Yes 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
49	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Tablet (टैबलेट)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/7424e58d-e556-4d1b-87bf-1ccfe4fac46a-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/49887437-6019-4c60-b191-f065f9569f70-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	4	Yes 	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
50	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Tablet (टैबलेट)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/56577fb9-1c32-4693-9e32-4a2cd0ecf4f1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/4aa344f7-2fe9-401f-a766-2360de4b4e05-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	No	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
51	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Tablet (टैबलेट)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/6d1b0c43-03d4-42aa-90c6-f5ee18906161-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/137ab97e-d450-473e-800c-c6fe69c1bf99-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	No	Several times a week (सप्ताह में कई बार)	Yes (हाँ)
52	Field job in a normal environment (सामान्य माहौल में फील्ड जॉब)	Villages (गांव)	Blurred vision (धुंधला दिखना)	Rarely (शायद ही कभी)	Tablet (टैबलेट)	Air-conditioned environments (वातानुकूलित वातावरण),Poor diet (खराब आहार)	26-35	Yes, fully aware (हाँ, पूरी तरह से अवगत)	https://api.sae.today/iota/clouds/audio/98905270-7203-47cd-ba85-019100c631d1-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/d7b8b2fc-a84d-4b8e-b568-001f77322d35-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	No	Several times a week (सप्ताह में कई बार)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
53	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Poor diet (खराब आहार),Air pollution (वायु प्रदूषण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/b56610cb-b24f-46df-8aff-d9ee3e7167be-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/4be93069-aa18-4b7e-bb2e-d03f98ac4529-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	No	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
54	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	3rd Tier city (कस्बा)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Poor diet (खराब आहार),Air pollution (वायु प्रदूषण)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/f9ee0d9c-d434-47cf-ba73-39115b78c101-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/2519abe1-bde1-46f6-8c8c-29ce8ed3898d-AUDIO.m4a	Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	3	No	Rarely (शायद ही कभी)	Yes (हाँ)
55	Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Poor diet (खराब आहार),Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/741f06e6-7342-4bee-9a57-dd32f9c90df4-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/15e298b1-d0f8-43bb-973a-25ff40088f4f-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	3	Yes 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
56	Field job in a dusty environment (धूल भरे माहौल में फील्ड जॉब)	2nd Tier city (छोटा शहर)	Sensitivity to light (प्रकाश में जलन होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Poor diet (खराब आहार),Air pollution (वायु प्रदूषण),Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना )	Under 18	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/56ab3f46-e7c5-4a3d-8e18-0c333ed28ea2-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/fd5a22e0-8e97-4103-9b21-e0a418f64590-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	3	Yes 	Rarely (शायद ही कभी)	Yes (हाँ)
57	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/fe48ebd0-a0f9-4638-bb03-453cef4e4e50-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/44dccfe0-5c55-448b-94f8-ba5a1ab17e2a-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	3	Maybe 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
58	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/f0b13bca-7fdf-40d5-9e67-03dfca1fef7f-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/6e497b5b-e77b-4fc8-938f-ac265911e7b2-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	3	Maybe 	Rarely (शायद ही कभी)	Yes (हाँ)
59	Desk Job with normal screen time (सामान्य समय तक कंप्यूटर के सामने बैठकर जॉब)	2nd Tier city (छोटा शहर)	Blurred vision (धुंधला दिखना)	A few times a month (महीने में कुछ बार)	Eye drops (आई ड्रॉप)	Air pollution (वायु प्रदूषण),Poor diet (खराब आहार)	18-25	Yes, somewhat aware (हाँ, कुछ हद तक अवगत)	https://api.sae.today/iota/clouds/audio/9d0b8ff5-b5ff-4680-ae9a-ec31c4cdbd14-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/a2cd38a6-d831-4e78-a6ac-ea26c7fcf070-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा)	3	Maybe 	Rarely (शायद ही कभी)	No (नहीं)
60	Any other (कोई और)	1st Tier City (बड़ा शहर)	Dry, irritated eyes (सुखी या आंख में जलन होना),Redness (लाल),A feeling of something in the eye (आँख में कुछ महसूस होना)	Rarely (शायद ही कभी)	Eye drops (आई ड्रॉप)	Increased screen time (computer/phone) (ज्यादा समय तक कंप्यूटर/फोन देखना ),Air pollution (वायु प्रदूषण)	18-25	No, not aware (नहीं, अवगत नहीं)	https://api.sae.today/iota/clouds/audio/201273f2-75cc-40cf-89bc-8892ef84e2d0-AUDIO.m4a	https://api.sae.today/iota/clouds/audio/eda44d42-7c57-4946-998d-8771a1d69af9-AUDIO.m4a	Prescription medication (डॉक्टर की सलाह से दवा),Lifestyle changes (screen time reduction, diet) (जीवनशैली में बदलाव (स्क्रीन टाइम में कमी, आहार))	4	Never 	Rarely (शायद ही कभी)	Maybe, I’d need more information (शायद, मुझे अधिक जानकारी चाहिए)
